"","days","confirmed.case_mean","confirmed.case_CI95","new.deaths_mean","new.deaths_CI95","ICU_mean","ICU_CI95","newICU_mean","newICU_CI95","ICUover_mean","ICUover_CI95","Ventilator_mean","Ventilator_CI95","smoothed.confirmed_mean","smoothed.confirmed_CI95","smoothed.deaths_mean","smoothed.deaths_CI95","confirmed.case.rate_mean","confirmed.case.rate_CI95","new.deaths.rate_mean","new.deaths.rate_CI95","ICU.rate_mean","ICU.rate_CI95","newICU.rate_mean","newICU.rate_CI95","ICUover.rate_mean","ICUover.rate_CI95","Ventilator.rate_mean","Ventilator.rate_CI95","policy.name","start.stop"
"46",14,561.78,332.976552323793,20.3061224489796,14.7316747633571,219.7196746048,169.86316986855,43.651726007,37.0864233881926,9.016266992,17.67188330432,205.93451332484,161.250242203373,538.68632927806,335.889200203115,20.7394001857332,15.9321188401659,30.5229940596845,21.2559583587464,2.6466040776273,2.56381568825765,25.01998229458,24.5813998099858,3.91486964828,4.02192093586122,9.016266992,17.67188330432,23.19209888016,22.9384062065826,"Entertainment","start"
"47",15,531.86,350.620606307387,24.66,19.2654333187707,245.52701411762,195.171928357075,47.36997481732,40.8421625838953,21.64338942,42.4210432632,229.71816627186,184.714176390257,565.371731366253,353.442712003148,23.6068184755794,18.6918834097779,26.6854020881928,18.918243948507,2.86741828984612,2.79004979400594,25.80733951282,25.5878786153505,3.71824881032,3.79039367865886,12.627122428,24.74915995888,23.78365294702,23.7058085080769,"Entertainment","start"
"48",16,617.44,364.685944524546,26.8,23.041465231187,271.58473830464,220.865289406368,50.78818756738,44.2277891663125,34.42454988,67.4721177648,253.5679010226,208.328550350255,589.588995613093,370.29390794923,26.7590622309603,21.8730597310962,24.2172642468403,18.1931319665209,3.15224375538095,3.21733794695557,26.05772418702,25.9482185943743,3.41821275006,3.42052196148306,12.78116046,25.0510745016,23.84973475074,23.836986718602,"Entertainment","start"
"49",17,619.9,370.988961496161,29.88,21.1952150977526,297.32631943632,246.230509514202,53.82070392602,47.1218202666244,47.00817796,92.1360288016,276.93786488302,231.403520942342,609.986057983745,385.142137468843,29.847068860931,25.0536283370364,20.397062370652,16.0852733951056,3.0880066299707,3.2174361227809,25.74158113168,25.6033688873774,3.03251635864,2.93219492127049,12.58362808,24.6639110368,23.36996386042,23.2852737095606,"Entertainment","start"
"50",18,684.12,455.792413476837,34.04,35.3974471757498,322.1952183258,270.542877616248,56.40544164556,49.4315971427517,61.319191666,115.701915648159,299.30125654152,253.249872828935,625.145716722417,396.761372236924,32.5665944399133,27.8071447196479,15.1596587386718,12.7785089877803,2.71952557898229,2.78743138035892,24.86889888948,24.5424370321644,2.58473771954,2.35700938522005,14.311013706,23.9024183595377,22.3633916585,22.0527051486567,"Entertainment","start"
"51",19,674.28,465.034119003584,39.12,36.5845749878279,345.68318510822,293.117408016414,58.5080400633,51.1019180758667,76.110636702,137.766879225167,320.18785396578,273.230186776451,634.86514963621,405.193520899582,35.1015886354147,30.3560233539448,9.71943291379309,9.78375755610749,2.53499419550138,2.57595240634822,23.48796678242,22.8075255190132,2.10259841774,1.73953546760812,14.791445036,22.8180789957177,20.88659742426,20.1939836040522,"Entertainment","start"
"52",20,612.68,400.772314777156,34.02,27.7079766247916,367.36169831204,313.358274029963,60.12249958746,52.1186004027719,89.509381646,157.664571565207,339.21399741256,290.806569574833,639.810626212543,411.150493584169,37.6671981309951,32.9895441260223,4.94547657633289,8.21934261212728,2.56560949558037,2.65404026885897,21.67851320382,20.4924858065223,1.61445952416,1.1428979530894,13.398744944,20.4733237890054,19.02614344678,17.8143637709068,"Entertainment","start"
"53",21,594.38,376.129159485196,33.64,23.7639851742085,386.90214359274,330.796602777376,61.26770494346,52.5045868513887,101.231737066,174.835759500921,356.10077066674,305.575706647094,641.564532635512,414.687975473568,40.0507795171303,35.3815437527723,1.75390642296919,6.94732354303349,2.38358138613522,2.41170367488084,19.5404452807,17.7333914748088,1.145205356,0.693936785753716,11.72235542,17.6688236329297,16.88677325418,15.0598722829469,"Entertainment","start"
"54",22,622.06,356.224197905982,47.62,43.6512686532705,404.08535712706,345.114801659488,61.98289108952,52.314669694495,111.086553636,188.911376250882,370.68105000442,317.289502696983,640.727328707078,415.78431928443,42.0582437512597,37.2061980577829,-0.83720392843381,6.24414926396271,2.00746423412941,1.85658466914867,17.18321353432,14.6994186518043,0.715186146060005,0.672688904743045,9.85481656999998,14.5675144201664,14.58027933768,12.1094105326589,"Entertainment","start"
"55",23,662.24,467.122775839671,45.44,43.7025076369766,418.79970521752,356.153307640301,62.32113108746,51.626906787499,118.97690787,199.700505345524,382.89487985718,325.857754094583,637.160932997699,413.741958559462,43.8218816239263,38.5243225870695,-3.56639570937941,7.6507098529217,1.76363787266655,1.4074212099335,14.71434809046,11.585514417143,0.33823999794,0.997388549427555,7.89035423400001,11.353008814752,12.21382985276,9.17375754569032,"Entertainment","start"
