"","state.name","date","total.pop","confirmed.case","new.deaths","ICU","newICU","ICUover","Ventilator","smoothed.confirmed","smoothed.deaths","confirmed.case.rate","new.deaths.rate","ICU.rate","newICU.rate","ICUover.rate","Ventilator.rate"
"3177","Idaho",2020-05-30,1735118.899,36,0,3.912048519,0.445595515,0,3.488964225,36.6245327790486,0.297420848425057,1.32416097203745,-0.0714133079975303,-0.156269701,-0.00898153600000001,0,-0.135690029
"3178","Idaho",2020-05-31,1735118.899,NA,NA,3.775537305,0.439687831,0,3.372263026,38.1232332842448,0.20355837890117,1.49870050519622,-0.0938624695238878,-0.136511214,-0.00590768400000002,0,-0.116701199
"3179","Idaho",2020-06-01,1735118.899,67,1,3.659264536,0.43648009,0,3.274658124,39.5112346445157,0.120411409460239,1.38800136027087,-0.0831469694409303,-0.116272769,-0.00320774099999999,0,-0.097604902
"3180","Idaho",2020-06-02,1735118.899,27,0,3.563061725,0.435538752,0,3.195666019,40.503298181777,0.0811446017115815,0.992063537261359,-0.0392668077486578,-0.0962028109999999,-0.000941338000000014,0,-0.0789921050000002
"3181","Idaho",2020-06-03,1735118.899,57,0,3.486121555,0.436372421,0,3.134234473,41.2039005319951,0.106296844290527,0.700602350218062,0.0251522425789455,-0.0769401699999999,0.000833669000000037,0,-0.0614315460000001
"3182","Idaho",2020-06-04,1735118.899,64,0,3.427011158,0.438437542,0,3.088763974,41.8473922946777,0.173409414825218,0.643491762682643,0.0671125705346909,-0.059110397,0.002065121,0,-0.0454704989999999
"3183","Idaho",2020-06-05,1735118.899,57,0,3.383708598,0.441154898,0,3.057146993,42.3433457370533,0.251150558414186,0.495953442375594,0.0777411435889686,-0.0433025599999999,0.002717356,0,-0.031616981
"3184","Idaho",2020-06-06,1735118.899,28,0,3.35365522,0.443915361,0,3.036817289,42.6013331263503,0.308188520155965,0.257987389296929,0.0570379617417785,-0.0300533780000003,0.00276046299999999,0,-0.0203297039999999
"3185","Idaho",2020-06-07,1735118.899,0,0,3.333835169,0.446088259,0,3.024822518,40.9748380723167,0.359332345554529,-1.62649505403352,0.0511438253985643,-0.0198200509999999,0.00217289799999998,0,-0.0119947709999999
"3186","Idaho",2020-06-08,1735118.899,50,0,3.320870461,0.447055356,0,3.017910457,37.4613467763312,0.426483451818073,-3.51349129598554,0.0671511062635436,-0.0129647079999997,0.000967097000000028,0,-0.00691206099999997
"3187","Idaho",2020-06-09,1735118.899,32,2,3.31117498,0.446273931,0,3.012675189,34.4364353930673,0.488948641601454,-3.02491138326386,0.0624651897833811,-0.00969548100000006,-0.000781425000000002,0,-0.00523526800000029
"3188","Idaho",2020-06-10,1735118.899,39,0,3.301170825,0.443354248,0,3.005767285,34.2756800771988,0.526034717559531,-0.160755315868499,0.0370860759580767,-0.0100041550000003,-0.00291968300000001,0,-0.00690790399999974
"3189","Idaho",2020-06-11,1735118.899,93,2,3.28755672,0.438126551,0,2.994155141,36.6389545885847,0.536008795585827,2.36327451138582,0.00997407802629691,-0.0136141049999998,-0.00522769700000003,0,-0.0116121440000003
"3190","Idaho",2020-06-12,1735118.899,46,0,3.267656056,0.43072257,0,2.975460972,39.8607451765191,0.532291091716981,3.22179058793441,-0.00371770386884696,-0.0199006640000001,-0.00740398099999995,0,-0.0186941689999998
"3191","Idaho",2020-06-13,1735118.899,NA,NA,3.239758146,0.421577193,0,2.948285659,44.3285467298288,0.516918058822514,4.46780155330971,-0.0153730328944661,-0.0278979100000001,-0.00914537700000001,0,-0.0271753129999999
"3192","Idaho",2020-06-14,1735118.899,NA,NA,3.203315543,0.411321052,0,2.912387243,50.4298541373405,0.491926149771954,6.1013074075117,-0.0249919090505603,-0.0364426029999998,-0.010256141,0,-0.0358984160000002
"3193","Idaho",2020-06-15,1735118.899,63,1,3.158969603,0.40067248,0,2.868684006,58.6140769013604,0.432123397811488,8.18422276401989,-0.0598027519604657,-0.0443459399999999,-0.010648572,0,-0.0437032369999999
"3194","Idaho",2020-06-16,1735118.899,78,0,3.108420425,0.390361011,0,2.819103864,68.7232875737107,0.335712255127727,10.1092106723503,-0.0964111426837617,-0.0505491780000002,-0.010311469,0,-0.0495801419999999
"3195","Idaho",2020-06-17,1735118.899,92,0,3.054201772,0.381090189,0,2.766346162,80.2339756174923,0.239820803000825,11.5106880437816,-0.0958914521269019,-0.054218653,-0.00927082199999996,0,-0.0527577020000001
"3196","Idaho",2020-06-18,1735118.899,111,1,2.999368541,0.373522096,0,2.713565399,92.6226304958061,0.181577122710938,12.3886548783138,-0.0582436802898865,-0.0548332309999999,-0.007568093,0,-0.0527807629999999
"3197","Idaho",2020-06-19,1735118.899,128,0,2.947208965,0.368284455,0,2.664084181,107.142484275161,0.170056829592845,14.5198537793547,-0.011520293118093,-0.0521595759999998,-0.00523764100000002,0,-0.0494812179999999
"3198","Idaho",2020-06-20,1735118.899,133,0,2.901105633,0.365999012,0,2.62125586,124.098646523699,0.180369783273206,16.9561622485385,0.0103129536803604,-0.0461033320000004,-0.002285443,0,-0.042828321
"3199","Idaho",2020-06-21,1735118.899,NA,NA,2.864552322,0.367315452,0,2.588482664,141.545422956974,0.198695431469999,17.4467764332743,0.0183256481967929,-0.0365533109999996,0.00131643999999997,0,-0.0327731960000004
"3200","Idaho",2020-06-22,1735118.899,250,0,2.841272222,0.372942125,0,2.569334023,157.537119290536,0.211213221901203,15.9916963335619,0.0125177904312045,-0.0232801,0.00562667300000003,0,-0.0191486409999997
"3201","Idaho",2020-06-23,1735118.899,148,0,2.835358319,0.38366318,0,2.567685555,171.722424632682,0.223155660228515,14.1853053421468,0.0119424383273121,-0.00591390300000016,0.010721055,0,-0.00164846799999996
"3202","Idaho",2020-06-24,1735118.899,243,1,2.851381125,0.400329372,0,2.58782549,185.490362549112,0.244318543801893,13.7679379164297,0.0211628835733778,0.0160228060000001,0.016666192,0,0.020139935
